Author,Quote
Terrence McKenna,"""The imagination is the goal of history. I see culture as an effort to literally realize our collective dreams."""
Terrence McKenna,"""The creative act is a letting down of the net of human imagination into the ocean of chaos on which we are suspended, and the attempt to bring out of it ideas."""
Max D. Younce,"""A demonic spirit's favorite activity is making a person feel religious without an understanding of the Word of God."""
Terrence McKenna,"""I'll try to be around and about. But if I'm not, then you know that I'm behind your eyelids, and I'll meet you there."""
Albert Einstein,"The most beautiful thing we can experience is the mysterious. It is the source of all true art and all science. He to whom this emotion is a stranger, who can no longer pause to wonder and stand rapt in awe, is as good as dead; his eyes are closed."
B. F. Skinner,The real problem is not whether machines think but whether men do.
Cherokee Proverb,"""A woman's highest calling is to lead a man to his soul so as to unite him with the Source. A man's highest calling is to protect woman so she is free to walk the earth unharmed."""
Terrence McKenna,"""You have to take seriously the notion that understanding the universe is your responsibility, because the only understanding of the universe that will be useful to you is your own understanding."""
Terrence McKenna,"The idea that spirit is resident in matter, in a very diffuse form, and that the goal of hermetic thinking, and later alchemy, is the concentration and redemption of this spirit - a focusing of it, a bringing of it together."
John Stuart Mill,It is questionable if all the mechanical inventions yet made have lightened the day's toil of any human being.
Michael J. Saylor,"Bitcoin is a swarm of cyber hornets serving the goddess of wisdom, feeding on the fire of truth, exponentially growing ever smarter, faster, and stronger behind a wall of encrypted energy."
Henry David Thoreau,Men have become the tools of their tools.
Alan J. Perlis,The only constructive theory connecting neuroscience and psychology will arise from the study of software.
Freeman Dyson,"Technology is a gift of God. After the gift of life it is perhaps the greatest of God's gifts. It is the mother of civilizations, of arts and of sciences."
Terrence McKenna,"""Right here and now, one quanta away, there is raging a universe of active intelligence that is transhuman, hyperdimensional, and extremely alien... What is driving religious feeling today is a wish for contact with this other universe."""
H.L. Mencken,The urge to save humanity is almost always a false-face for the urge to rule it. Power is what all messiahs really seek: not the chance to serve. This is true even of the pious brethren who carry the gospel to foreign parts.
Edgar Allan Poe,"""Believe only half of what you see and nothing that you hear."""
Nikola Tesla,"""The gift of the mental power comes from the divine, and if we concentrate our minds on that truth, we become in tune with this great power."""
St. Jerome,"""The face is the mirror of the mind, and eyes without speaking confess the secrets of the heart."""
Terrence McKenna,"""There is a transcendental dimension beyond language... It's just hard as hell to talk about!"""
Raoul Vaneigem,"""We must discover new frontiers... People have been standing for centuries before a worm-eaten door, making pinholes in it with increasing ease. The time has come to kick it down, for it is only on the other side that everything begins."""
Antoine Lavoisier,"""Nothing is lost, nothing is created, everything is transformed."""
Albert Einstein,"""Energy cannot be created or destroyed, it can only be changed from one form to another."""
Stephane Audeguy,“What we call 'time' isn't chronological but spatial; what we call 'death' is merely a transition between different kinds of matter.”
Plato,"""Only the dead have seen the end of war."""
Ernst Jünger,"Myth is not prehistory; it is timeless reality, which repeats itself in history."
Frank Herbert,"""No matter how exotic human civilization becomes, no matter the developments of life and society nor the complexity of the machine/human interface, there comes interludes of lonely power when the course of humankind depends upon the relatively simple actions of single individuals."""
